RANK,ID,NAME,SYMBOL,PERCENTAGE,VOLUME,PRICE,MARKETCAP,SPARKLINEURL
71,1866,bytom,BTM,0.82,"$4,838,472",$0.057225,"$57,367,738",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1866.png
72,2694,nexo,NEXO,2.41,"$10,831,055",$0.101237,"$56,692,885",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2694.png
73,291,maidsafecoin,MAID,-2.01,"$444,003",$0.125008,"$56,572,617",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/291.png
74,693,verge,XVG,-1.64,"$1,223,373",$0.003405,"$54,509,696",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/693.png
75,1700,aeternity,AE,0.82,"$48,237,926",$0.186013,"$53,561,644",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1700.png
76,2405,iostoken,IOST,0.20,"$14,869,946",$0.004406,"$52,939,264",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2405.png
77,2447,crpt,CRPT,3.72,"$386,614",$0.611763,"$51,876,293",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2447.png
78,4195,ftx-token,FTT,-1.53,"$2,440,553",$1.33,"$50,525,910",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/4195.png
79,1320,ardor,ARDR,-2.13,"$2,289,731",$0.049892,"$49,841,621",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1320.png
80,1230,steem,STEEM,-1.51,"$471,291",$0.138174,"$48,170,329",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1230.png
