RANK,ID,NAME,SYMBOL,PERCENTAGE,VOLUME,PRICE,MARKETCAP,SPARKLINEURL
36,1684,qtum,QTUM,-0.08,"$170,578,640",$1.71,"$164,570,091",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1684.png
37,1168,decred,DCR,-2.62,"$6,547,892",$14.48,"$152,975,358",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1168.png
38,3437,abbc-coin,ABBC,-4.25,"$57,949,434",$0.275403,"$152,658,236",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3437.png
39,2682,holo,HOT,2.39,"$13,344,491",$0.000943,"$152,151,101",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2682.png
40,2577,ravencoin,RVN,-1.65,"$10,727,362",$0.031068,"$145,535,269",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2577.png
41,4172,luna,LUNA,-5.77,"$1,068,573",$0.497003,"$141,870,153",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/4172.png
42,3351,zb,ZB,-0.25,"$174,362,350",$0.299684,"$138,840,383",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3351.png
43,2083,bitcoin-gold,BTG,0.74,"$12,074,345",$7.61,"$133,321,113",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2083.png
44,4279,swipe,SXP,-0.35,"$51,251,707",$2.11,"$129,149,221",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/4279.png
45,2453,educare,EKT,3.51,"$8,882,039",$0.145611,"$123,769,752",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2453.png
46,2585,centrality,CENNZ,-6.85,"$408,213",$0.113353,"$119,662,814",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2585.png
47,3704,v-systems,VSYS,-0.49,"$2,342,268",$0.062202,"$114,021,603",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3704.png
48,1808,omisego,OMG,-0.58,"$44,403,176",$0.811712,"$113,838,915",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1808.png
49,1567,nano,NANO,1.42,"$3,729,489",$0.813068,"$108,339,958",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1567.png
50,2586,synthetix-network-token,SNX,8.16,"$208,281",$0.753864,"$104,748,390",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2586.png
51,2087,kucoin-shares,KCS,0.78,"$6,946,754",$1.09,"$95,961,401",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2087.png
52,4030,algorand,ALGO,0.34,"$101,800,286",$0.227488,"$95,390,194",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/4030.png
53,109,digibyte,DGB,-2.37,"$3,253,861",$0.007464,"$92,579,016",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/109.png
54,1214,lisk,LSK,-2.11,"$1,677,949",$0.761909,"$92,251,473",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1214.png
55,1104,augur,REP,0.41,"$6,330,149",$8.22,"$90,432,785",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1104.png
56,3718,bittorrent,BTT,0.28,"$68,476,370",$0.000418,"$88,761,883",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3718.png
57,2222,bitcoin-diamond,BCD,-0.50,"$2,137,540",$0.465867,"$86,880,934",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2222.png
58,2308,dai,DAI,0.61,"$20,938,809",$1.01,"$85,112,792",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2308.png
59,1042,siacoin,SC,-3.31,"$3,034,662",$0.001970,"$82,368,755",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1042.png
60,2099,icon,ICX,2.43,"$27,213,823",$0.164484,"$82,338,104",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2099.png
61,1274,waves,WAVES,-0.54,"$13,211,512",$0.807811,"$80,781,105",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1274.png
62,2416,theta,THETA,1.02,"$625,999",$0.086597,"$75,382,993",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2416.png
63,372,bytecoin-bcn,BCN,6.10,"$7,604",$0.000399,"$73,437,010",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/372.png
64,213,monacoin,MONA,-0.35,"$1,623,730",$1.11,"$72,828,043",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/213.png
65,463,bitshares,BTS,0.02,"$1,844,172",$0.026230,"$72,040,837",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/463.png
66,1521,komodo,KMD,1.72,"$1,712,615",$0.563610,"$65,653,914",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1521.png
67,3155,quant,QNT,-5.68,"$3,297,313",$5.26,"$63,448,433",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3155.png
68,1903,hypercash,HC,-1.20,"$1,940,321",$1.40,"$62,059,025",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1903.png
69,1776,crypto-com,MCO,3.89,"$6,629,211",$3.64,"$57,456,679",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1776.png
70,3218,energi,NRG,1.86,"$310,522",$2.62,"$57,426,666",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3218.png
71,1866,bytom,BTM,0.75,"$4,833,061",$0.057184,"$57,326,554",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1866.png
72,291,maidsafecoin,MAID,-2.00,"$445,594",$0.125014,"$56,575,283",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/291.png
73,2694,nexo,NEXO,2.14,"$10,825,574",$0.100983,"$56,550,409",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2694.png
74,693,verge,XVG,-0.93,"$1,232,177",$0.003430,"$54,904,042",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/693.png
75,1700,aeternity,AE,0.82,"$48,243,294",$0.186018,"$53,563,322",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1700.png
76,2405,iostoken,IOST,0.20,"$14,872,255",$0.004407,"$52,944,880",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2405.png
77,2447,crpt,CRPT,3.94,"$386,774",$0.612013,"$51,897,496",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2447.png
78,4195,ftx-token,FTT,-1.47,"$2,441,417",$1.33,"$50,555,232 ",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/4195.png
79,1320,ardor,ARDR,-2.03,"$2,292,352",$0.049944,"$49,894,369",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1320.png
80,1230,steem,STEEM,-1.49,"$471,328",$0.138204,"$48,180,620",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1230.png
81,3871,newton,NEW,9.39,"$8,090,439",$0.003972,"$47,459,544",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3871.png
82,2469,zilliqa,ZIL,2.22,"$5,586,768",$0.005377,"$46,710,636",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2469.png
83,2130,enjin-coin,ENJ,3.79,"$1,631,403",$0.058063,"$45,557,064",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2130.png
84,2539,ren,REN,0.89,"$2,057,676",$0.055686,"$44,521,556",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2539.png
85,1455,golem-network-tokens,GNT,-3.28,"$2,224,171",$0.045277,"$44,373,664",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1455.png
86,1759,status,SNT,1.51,"$183,042,347",$0.012644,"$43,881,499",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1759.png
87,2299,aelf,ELF,-3.71,"$9,566,522",$0.078959,"$42,991,742",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2299.png
88,2874,aurora,AOA,-11.22,"$1,689,860",$0.006458,"$42,249,023",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2874.png
89,2603,pundi-x,NPXS,-0.85,"$1,007,156",$0.000179,"$41,993,463",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2603.png
90,1414,zcoin,XZC,-1.69,"$4,591,165",$4.85,"$41,850,935",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1414.png
91,3701,rif-token,RIF,10.03,"$7,726,725",$0.083125,"$41,512,083",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3701.png
92,3829,nash-exchange,NEX,-7.03,"$2,072,135",$1.10,"$39,719,980",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3829.png
93,2830,seele,SEELE,0.04,"$18,962,263",$0.053878,"$37,534,636",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2830.png
94,3724,solve,SOLVE,-2.37,"$1,597,642",$0.111027,"$36,352,795",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3724.png
95,4066,chiliz,CHZ,-3.03,"$7,934,668",$0.009929,"$35,790,264",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/4066.png
96,2989,stasis-euro,EURS,-0.37,"$540,964",$1.12,"$35,706,501",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2989.png
97,2137,electroneum,ETN,1.50,"$103,592",$0.003605,"$35,533,049",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2137.png
98,2772,digitex-futures,DGTX,-0.32,"$1,004,272",$0.046080,"$35,511,533",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2772.png
99,1923,tierion,TNT,0.42,"$1,223,119",$0.081241,"$34,810,271",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1923.png
100,3890,matic-network,MATIC,9.30,"$24,303,469",$0.015129,"$33,544,098",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3890.png
1,1,bitcoin,BTC,-0.21,"$15,954,307,369",$8226.21,"$148,119,316,047",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1.png
2,1027,ethereum,ETH,0.04,"$6,898,755,653",$175.28,"$18,972,923,427",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1027.png
3,52,ripple,XRP,2.78,"$1,701,835,903",$0.300566,"$12,997,258,368",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/52.png
4,1831,bitcoin-cash,BCH,3.79,"$1,708,804,478",$234.05,"$4,229,392,237",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1831.png
5,825,tether,USDT,-0.04,"$19,412,736,413",$1.00,"$4,124,960,009",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/825.png
6,2,litecoin,LTC,1.06,"$2,752,549,125",$55.12,"$3,501,112,133",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2.png
7,1839,binance-coin,BNB,0.27,"$182,417,269",$18.26,"$2,840,657,989",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1839.png
8,1765,eos,EOS,0.63,"$1,719,366,844",$2.94,"$2,755,450,136",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1765.png
9,3602,bitcoin-sv,BSV,17.63,"$576,757,028",$112.27,"$2,004,542,948",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3602.png
10,512,stellar,XLM,1.77,"$194,890,735",$0.064317,"$1,288,636,587",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/512.png
11,1958,tron,TRX,1.11,"$768,492,685",$0.015677,"$1,045,381,084",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1958.png
12,2010,cardano,ADA,2.29,"$39,411,794",$0.040052,"$1,038,439,891",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2010.png
13,3957,unus-sed-leo,LEO,-1.35,"$6,658,739",$1.01,"$1,006,950,728",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3957.png
14,328,monero,XMR,1.82,"$98,710,228",$57.29,"$989,378,584",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/328.png
15,1975,chainlink,LINK,8.95,"$185,495,289",$2.71,"$949,699,600",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1975.png
16,2502,huobi-token,HT,-0.62,"$68,093,905",$3.41,"$797,644,129",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2502.png
17,1720,iota,MIOTA,2.67,"$7,367,393",$0.276027,"$767,224,593",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1720.png
18,131,dash,DASH,-0.55,"$232,034,539",$69.11,"$629,415,803",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/131.png
19,3794,cosmos,ATOM,4.17,"$141,232,147",$3.01,"$573,499,532",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3794.png
20,2011,tezos,XTZ,-1.59,"$11,531,000",$0.867878,"$573,123,452",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2011.png
21,1321,ethereum-classic,ETC,3.17,"$512,545,646",$4.66,"$533,349,883",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1321.png
22,1376,neo,NEO,2.10,"$241,911,848",$7.46,"$526,077,556",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1376.png
23,1518,maker,MKR,0.81,"$7,239,105",$500.82,"$500,816,926",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1518.png
24,3408,usd-coin,USDC,0.12,"$197,928,677",$1.00,"$477,227,132",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3408.png
25,3635,crypto-com-coin,CRO,1.28,"$11,924,156",$0.033796,"$372,061,770",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3635.png
26,873,nem,XEM,-1.01,"$30,720,005",$0.040237,"$362,132,281",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/873.png
27,74,dogecoin,DOGE,0.49,"$82,653,808",$0.002739,"$333,365,070",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/74.png
28,2566,ontology,ONT,2.77,"$83,006,522",$0.600690,"$321,880,329",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2566.png
29,1697,basic-attention-token,BAT,-5.05,"$42,454,941",$0.214722,"$290,078,883",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1697.png
30,1437,zcash,ZEC,0.40,"$116,797,767",$36.65,"$281,492,601",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1437.png
31,3330,paxos-standard,PAX,0.13,"$310,634,950",$1.00,"$249,335,236",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3330.png
32,3662,hedgetrade,HEDG,-2.81,"$298,431",$0.737970,"$212,779,655",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3662.png
33,1896,0x,ZRX,-0.82,"$25,239,765",$0.323617,"$194,578,581",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1896.png
34,2563,trueusd,TUSD,-0.03,"$173,219,095",$1.00,"$186,345,602",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2563.png
35,3077,vechain,VET,-0.98,"$75,122,287",$0.003337,"$185,046,720",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3077.png
36,1684,qtum,QTUM,-0.06,"$170,607,627",$1.71,"$164,607,871",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1684.png
37,1168,decred,DCR,-2.65,"$6,546,134",$14.48,"$152,937,620",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1168.png
38,3437,abbc-coin,ABBC,-4.09,"$57,909,129",$0.275309,"$152,605,907",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3437.png
39,2682,holo,HOT,2.07,"$13,310,856",$0.000940,"$151,645,185 ",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2682.png
40,2577,ravencoin,RVN,-1.43,"$10,741,599",$0.031124,"$145,798,020",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2577.png
41,4172,luna,LUNA,-5.79,"$1,068,208",$0.496877,"$141,834,339",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/4172.png
42,3351,zb,ZB,-0.33,"$174,287,877",$0.299556,"$138,781,058",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3351.png
43,2083,bitcoin-gold,BTG,0.67,"$12,072,012",$7.61,"$133,242,817",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2083.png
44,4279,swipe,SXP,-0.36,"$51,243,718",$2.11,"$129,127,324",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/4279.png
45,2453,educare,EKT,3.54,"$8,883,170",$0.145707,"$123,850,876",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2453.png
46,2585,centrality,CENNZ,-4.72,"$407,673",$0.115879,"$122,329,618",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2585.png
