RANK,ID,NAME,SYMBOL,PERCENTAGE,VOLUME,PRICE,MARKETCAP,SPARKLINEURL
92,3829,nash-exchange,NEX,-7.15,"$2,068,910",$1.10,"$39,670,763",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3829.png
93,2830,seele,SEELE,0.04,"$19,352,215",$0.053809,"$37,486,309",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2830.png
94,3724,solve,SOLVE,-1.83,"$1,604,088",$0.111685,"$36,568,199",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3724.png
95,4066,chiliz,CHZ,-3.81,"$7,960,607",$0.009895,"$35,668,002",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/4066.png
96,2989,stasis-euro,EURS,-0.40,"$517,545",$1.12,"$35,701,076",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2989.png
97,2137,electroneum,ETN,1.50,"$103,537",$0.003604,"$35,522,539",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2137.png
98,2772,digitex-futures,DGTX,-1.53,"$994,486",$0.045509,"$35,071,756",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2772.png
99,1923,tierion,TNT,0.89,"$1,222,776",$0.081489,"$34,916,492",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1923.png
100,3890,matic-network,MATIC,9.10,"$24,652,113",$0.015126,"$33,536,338",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3890.png
1,1,bitcoin,BTC,-0.22,"$15,984,013,257",$8227.10,"$148,135,580,611",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1.png
2,1027,ethereum,ETH,0.03,"$6,909,935,629",$175.27,"$18,971,838,410",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1027.png
3,52,ripple,XRP,2.65,"$1,716,122,613",$0.300046,"$12,974,782,180",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/52.png
4,1831,bitcoin-cash,BCH,3.78,"$1,715,339,174",$234.11,"$4,230,437,865",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1831.png
5,825,tether,USDT,0.07,"$19,440,581,320",$1.01,"$4,129,510,941",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/825.png
6,2,litecoin,LTC,1.00,"$2,760,103,319",$55.09,"$3,498,846,459",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2.png
7,1839,binance-coin,BNB,0.59,"$182,545,920",$18.31,"$2,848,521,018",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1839.png
8,1765,eos,EOS,0.74,"$1,726,331,874",$2.94,"$2,758,858,273",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1765.png
9,3602,bitcoin-sv,BSV,17.25,"$575,554,299",$112.02,"$2,000,202,576",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3602.png
10,512,stellar,XLM,1.52,"$196,140,863",$0.064162,"$1,285,519,800",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/512.png
11,1958,tron,TRX,1.04,"$771,729,934",$0.015663,"$1,044,436,794",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1958.png
12,2010,cardano,ADA,2.33,"$39,884,676",$0.040045,"$1,038,260,447",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2010.png
13,3957,unus-sed-leo,LEO,-1.48,"$6,743,495",$1.01,"$1,005,584,768",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3957.png
14,328,monero,XMR,2.00,"$99,269,137",$57.40,"$991,314,879",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/328.png
15,1975,chainlink,LINK,9.29,"$187,072,803",$2.72,"$953,467,847",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1975.png
16,2502,huobi-token,HT,-0.48,"$68,038,537",$3.41,"$798,570,560",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2502.png
17,1720,iota,MIOTA,2.42,"$7,454,905",$0.275197,"$764,919,042",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1720.png
18,131,dash,DASH,-0.54,"$232,426,318",$69.15,"$629,810,584",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/131.png
19,2011,tezos,XTZ,-1.50,"$11,435,497",$0.867857,"$573,109,904",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2011.png
20,3794,cosmos,ATOM,3.35,"$141,538,562",$2.98,"$568,953,108",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3794.png
21,1321,ethereum-classic,ETC,2.59,"$513,023,260",$4.63,"$530,281,470",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1321.png
22,1376,neo,NEO,2.17,"$241,961,634",$7.46,"$526,555,156",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1376.png
23,1518,maker,MKR,0.42,"$7,176,199",$498.68,"$498,680,435",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1518.png
24,3408,usd-coin,USDC,0.22,"$198,270,873",$1.00,"$477,688,547",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3408.png
25,3635,crypto-com-coin,CRO,1.03,"$11,900,948",$0.033716,"$371,185,548",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3635.png
26,873,nem,XEM,-1.08,"$30,803,235",$0.040230,"$362,067,839",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/873.png
27,74,dogecoin,DOGE,0.42,"$82,862,106",$0.002737,"$333,105,149",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/74.png
